asset,devicename,alarm_id,device_id,"FROM_UNIXTIME(start_ts / 1000)","FROM_UNIXTIME(clear_ts / 1000)","FROM_UNIXTIME(end_ts / 1000)",severity,status,type,ack_duration,alarm_duration
Factory1,F1_Device1,75c941d0-3150-11ea-9fd6-0326052de538,613da120-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 18:50:23.1490","2020-01-07 18:50:43.1870","2020-01-07 18:50:23.1490","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device2,007417b0-317e-11ea-9fd6-0326052de538,7f5ad3d0-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 00:16:23.1470","2020-01-08 00:16:43.1480","2020-01-08 00:16:23.1470","1970-01-01 05:30:00.0000",CLEARED_UNACK,Voltage,0,0
Factory1,F1_Device3,007b6ab0-317e-11ea-9fd6-0326052de538,916a1680-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 00:16:23.1940","2020-01-08 00:16:43.1740","2020-01-08 00:16:23.1940","1970-01-01 05:30:00.0000",CLEARED_UNACK,Voltage,0,0
Factory1,F1_Device3,0081fa60-317e-11ea-9fd6-0326052de538,916a1680-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 00:16:23.2360","2020-01-08 00:16:43.1740","2020-01-08 00:16:23.2360","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device1,184b9bb0-317e-11ea-9fd6-0326052de538,613da120-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 00:17:03.1470","2020-01-08 00:17:23.1490","2020-01-08 00:17:03.1470","1970-01-01 05:30:00.0000",CLEARED_UNACK,Voltage,0,0
Factory1,F1_Device3,185363e0-317e-11ea-9fd6-0326052de538,916a1680-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 00:17:03.1970","2020-01-08 00:17:23.1730","2020-01-08 00:17:03.1970","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device2,7ccd48c0-31a3-11ea-9fd6-0326052de538,7f5ad3d0-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 04:44:43.1470","2020-01-08 04:45:03.1460","2020-01-08 04:44:43.1470","1970-01-01 05:30:00.0000",CLEARED_UNACK,Voltage,0,0
Factory1,F1_Device3,7cd75ae0-31a3-11ea-9fd6-0326052de538,916a1680-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 04:44:43.2130","2020-01-08 04:45:03.1740","2020-01-08 04:44:43.2130","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device2,7e57aff0-31bc-11ea-9fd6-0326052de538,7f5ad3d0-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 07:43:43.1500","2020-01-08 07:44:03.1470","2020-01-08 07:43:43.1500","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device3,7e5f5110-31bc-11ea-9fd6-0326052de538,916a1680-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 07:43:43.2000","2020-01-08 07:44:03.1730","2020-01-08 07:43:43.2000","1970-01-01 05:30:00.0000",CLEARED_UNACK,Voltage,0,0
Factory1,F1_Device3,3d194e30-31bd-11ea-9fd6-0326052de538,916a1680-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 07:49:03.1860","2020-01-08 07:49:23.1820","2020-01-08 07:49:03.1860","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device3,9089a060-31bd-11ea-9fd6-0326052de538,916a1680-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 07:51:23.1740","2020-01-08 07:51:43.1730","2020-01-08 07:51:23.1740","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device3,b44d3480-31bd-11ea-9fd6-0326052de538,916a1680-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 07:52:23.1750","2020-01-08 07:52:43.1730","2020-01-08 07:52:23.1750","1970-01-01 05:30:00.0000",CLEARED_UNACK,Voltage,0,0
Factory1,F1_Device3,13ab6b90-31be-11ea-9fd6-0326052de538,916a1680-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 07:55:03.1750","2020-01-08 07:55:23.1970","2020-01-08 07:55:03.1750","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device1,2b7f4610-31be-11ea-9fd6-0326052de538,613da120-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 07:55:43.1520","2020-01-08 07:56:03.1460","2020-01-08 07:55:43.1520","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device3,8af01ac0-31be-11ea-9fd6-0326052de538,916a1680-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 07:58:23.2740","2020-01-08 07:58:43.1830","2020-01-08 07:58:23.2740","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device2,3d1381d0-31bd-11ea-9fd6-0326052de538,7f5ad3d0-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 07:49:03.1490","2020-01-08 07:49:23.1490","2020-01-08 07:49:03.1490","2020-01-08 12:16:40.3300",CLEARED_ACK,Temperature,16057181,0
Factory1,F1_Device3,7cd82e60-3118-11ea-9fd6-0326052de538,916a1680-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 12:09:43.1730","2020-01-07 12:10:03.2340","2020-01-07 12:09:43.1730","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device2,ff671a50-3116-11ea-9fd6-0326052de538,7f5ad3d0-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 11:59:03.2190","2020-01-07 11:59:43.1460","2020-01-07 11:59:23.1530","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,19934
Factory1,F1_Device1,ff5bcfb0-3116-11ea-9fd6-0326052de538,613da120-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 11:59:03.1470","2020-01-07 11:59:43.1470","2020-01-07 11:59:23.1460","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,19999
